,bag,balustrade,bath towel,bathrobe,bathroom cabinet,bathroom towel,bathtub,bed,bench,blanket,board,box,cabinet,cabinet table,chair,closet shelf,cloth,clothes,clothes dryer,container,couch,countertop,crib,desk,display cabinet,drawer,fire extinguisher,handbag,heater,kitchen lower cabinet,kitchen shelf,monitor,oven,oven and stove,plush toy,rack,shower cabin,shower soap shelf,sideboard,sink,sink cabinet,sofa chair,sofa seat,stove,table,towel,toy,tv,wardrobe,washer-dryer,washing machine,worktop
clothes,0.9,0.1,0.5,0.7,0.2,0.5,0.5,0.5,0.2,0.8,0.5,0.5,0.8,0.1,0.2,1.0,0.7,1.0,0.9,0.5,0.1,0.1,0.1,0.1,0.0,0.9,0.0,0.7,0.1,0.1,0.1,0.1,0.2,0.1,0.7,0.8,0.8,0.7,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.8,0.2,0.2,0.9,0.9,0.95,0.1
clothes dryer,0.75,0.1,0.5,0.1,0.0,0.2,0.1,0.0,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.5,0.7,0.9,1.0,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.5,0.0,0.1,0.1,0.7,0.5,0.1,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.8,0.1,0.1,0.7,0.95,0.95,0.0
container,0.75,0.2,0.1,0.1,0.75,0.3,0.5,0.1,0.3,0.2,0.1,0.75,0.7,0.0,0.5,0.8,0.5,0.5,0.1,1.0,0.5,0.7,0.1,0.2,0.2,0.7,0.2,0.1,0.5,1.0,0.9,0.2,0.7,0.8,0.2,0.5,0.7,0.5,0.5,0.9,0.8,0.5,0.7,0.8,0.7,0.7,0.5,0.5,0.5,0.7,0.5,0.8
couch,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.8,0.7,0.2,0.2,0.2,0.8,0.2,0.75,0.1,0.1,0.5,1.0,0.0,0.0,0.1,0.5,0.2,0.1,0.0,0.5,0.1,0.2,0.1,0.0,0.0,0.4,0.1,0.0,0.0,0.7,0.1,0.0,0.8,1.0,0.0,0.8,0.1,0.2,0.9,0.2,0.1,0.0,0.0
countertop,0.3,0.1,0.0,0.0,0.9,0.2,0.2,0.0,0.2,0.0,0.2,0.5,1.0,0.8,0.7,0.0,0.8,0.1,0.0,0.7,0.0,1.0,0.0,0.5,0.5,0.9,0.1,0.0,0.2,1.0,1.0,0.3,0.95,0.95,0.1,0.7,0.5,0.1,0.7,1.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crib,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.5,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desk,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.2,0.1,0.2,0.6,0.3,0.5,0.5,0.8,0.3,0.1,0.1,0.0,0.2,0.1,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
display cabinet,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.5,0.5,0.8,0.5,0.5,0.5,0.2,0.0,0.1,0.2,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drawer,0.5,0.1,0.7,0.7,0.8,0.5,0.1,0.7,0.1,0.2,0.5,0.7,0.9,0.8,0.7,0.8,0.5,0.9,0.2,0.7,0.2,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire extinguisher,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handbag,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heater,0.2,0.1,0.2,0.1,0.1,0.5,0.7,0.5,0.1,0.7,0.2,0.2,0.5,0.2,0.7,0.2,0.1,0.1,0.5,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kitchen lower cabinet,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.1,0.2,0.5,1.0,1.0,0.5,0.1,0.7,0.1,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kitchen shelf,0.75,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.95,0.8,0.1,0.2,0.7,0.1,0.1,0.9,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitor,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,0.2,0.0,0.7,0.0,0.1,0.1,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.2,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.8,0.5,0.1,0.1,0.1,0.2,0.7,0.7,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven and stove,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.9,0.9,0.2,0.0,0.7,0.1,0.5,0.8,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plush toy,0.6,0.0,0.1,0.2,0.0,0.1,0.3,0.7,0.1,0.7,0.1,0.2,0.2,0.1,0.1,0.1,0.7,0.7,0.1,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rack,0.3,0.1,0.8,0.1,0.5,0.9,0.1,0.2,0.5,0.1,0.5,0.5,0.5,0.5,0.2,0.8,0.7,0.8,0.5,0.5,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shower cabin,0.0,0.0,0.9,0.9,0.9,0.9,0.8,0.7,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.1,0.7,0.8,0.1,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shower soap shelf,0.1,0.0,0.8,0.9,0.9,0.9,0.9,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sideboard,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.7,0.7,0.1,0.7,0.5,0.8,0.8,0.7,0.2,0.2,0.2,0.0,0.5,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sink,0.6,0.1,0.7,0.5,1.0,0.9,0.9,0.0,0.2,0.1,0.5,0.1,0.9,0.5,0.1,0.2,0.8,0.2,0.1,0.9,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sink cabinet,0.7,0.1,0.5,0.5,0.9,0.9,0.9,0.0,0.5,0.0,0.5,0.1,1.0,0.7,0.1,0.5,0.7,0.1,0.0,0.8,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sofa chair,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.8,0.2,0.1,0.2,0.0,0.8,0.0,0.7,0.1,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sofa seat,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.5,0.8,0.2,0.2,0.2,0.0,0.9,0.0,0.7,0.2,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stove,0.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.8,0.7,0.1,0.1,0.3,0.1,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.5,0.5,0.2,0.7,0.5,0.7,0.5,0.9,0.2,0.75,0.2,0.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
towel,0.6,0.1,0.9,0.8,0.9,0.1,0.9,0.2,0.1,0.5,0.1,0.2,0.5,0.1,0.1,0.5,0.75,0.8,0.8,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
toy,0.5,0.0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.6,0.2,0.5,0.2,0.1,0.3,0.1,0.5,0.2,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tv,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.8,0.1,0.7,0.7,0.7,0.8,0.7,0.8,0.5,0.1,0.2,0.1,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
wardrobe,0.5,0.1,0.7,0.7,0.2,0.2,0.0,0.95,0.1,0.6,0.1,0.7,0.7,0.5,0.5,0.9,0.8,0.9,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
washer-dryer,0.2,0.0,0.5,0.2,0.1,0.5,0.3,0.05,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.8,0.9,0.95,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
washing machine,0.5,0.0,0.8,0.5,0.1,0.5,0.5,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.8,0.95,0.95,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
worktop,0.2,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.2,0.3,0.9,0.7,0.2,0.1,0.5,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
